"2022年12月12日(月)ニュース・連絡明日はあそぼう会➂

上田市立東塩田小学校
http://www.school.umic.jp/higashishioda/news/20221212-154204.php"
"遠山郷を守ろうプロジェクト（上村地区）

飯田市立遠山中学校
https://toyama-jh.iidacity-educationboard.com/%e9%81%a0%e5%b1%b1%e9%83%b7%e3%82%92%e5%ae%88%e3%82%8d%e3%81%86%e3%83%97%e3%83%ad%e3%82%b8%e3%82%a7%e3%82%af%e3%83%88%ef%bc%88%e4%b8%8a%e6%9d%91%e5%9c%b0%e5%8c%ba%ef%bc%89/"
"学有林学習

飯田市立遠山中学校
https://toyama-jh.iidacity-educationboard.com/%e5%ad%a6%e6%9c%89%e6%9e%97%e5%ad%a6%e7%bf%92/"
"保健に関する講演会

飯田市立遠山中学校
https://toyama-jh.iidacity-educationboard.com/%e4%bf%9d%e5%81%a5%e3%81%ab%e9%96%a2%e3%81%99%e3%82%8b%e8%ac%9b%e6%bc%94%e4%bc%9a/"
"避難訓練

飯田市立遠山中学校
https://toyama-jh.iidacity-educationboard.com/%e9%81%bf%e9%9b%a3%e8%a8%93%e7%b7%b4-2/"
"2023年1月6日(金)学校行事４つの「C」で創造と挑戦の三学期に！

上田市立第四中学校
http://www.school.umic.jp/ueda4/news/gyouji/20230106-170612.php"
"2023年1月6日(金)ニュース・連絡４８日間の３学期、スタート！始業式より

上田市立中塩田小学校
http://www.school.umic.jp/nakashioda/news/20230106-072751.php"
"2022年12月21日(水)ニュース・連絡５学年【令和５年度児童会長選挙】

上田市立川西小学校
http://www.school.umic.jp/kawanishi/news/20221221-170355.php"
"2022年12月19日(月)ニュース・連絡３学年【児童会への入り口】

上田市立川西小学校
http://www.school.umic.jp/kawanishi/news/20221219-171034.php"
"
令和５年度入学予定者学校見学会に係る連絡


信州大学附属長野中学校
https://www.shinshu-u.ac.jp/faculty/education/naga-chu/news/guide/post-75.html"
"３学期寒い日々ですが元気にスタート！

飯田市立千代小学校
https://chiyo-es.iidacity-educationboard.com/%ef%bc%93%e5%ad%a6%e6%9c%9f%e3%80%80%e5%af%92%e3%81%84%e6%97%a5%e3%80%85%e3%81%a7%e3%81%99%e3%81%8c%e5%85%83%e6%b0%97%e3%81%ab%e3%82%b9%e3%82%bf%e3%83%bc%e3%83%88%ef%bc%81/"
"『信州「学び」応援寄付金』の対象校となりました

大日向小学校・大日向中学校
https://www.jenaplanschool.ac.jp/news/news/230110/"
"３学期が始まりました

小諸市立水明小学校
https://suimei.komoro.ed.jp/?p=4157"
"
3学期始業式


信州大学附属松本小学校
https://www.shinshu-u.ac.jp/faculty/education/matsu-sho/news/3-5.html"
"
3学期始業式


信州大学附属松本小学校
https://www.shinshu-u.ac.jp/faculty/education/matsu-sho/news/cat16766/3-5.html"
"2023年1月10日(火)ニュース・連絡冬休みの作品

上田市立川西小学校
http://www.school.umic.jp/kawanishi/news/20230110-115553.php"
"2023年1月10日(火)ニュース・連絡冬休みの宿題

上田市立川西小学校
http://www.school.umic.jp/kawanishi/news/20230110-115039.php"
"2023年1月10日(火)ニュース・連絡迎春

上田市立川西小学校
http://www.school.umic.jp/kawanishi/news/20230110-110941.php"
"2023年1月10日(火)学校の出来事３学期が始まりました。

上田市立丸子中学校
http://www.school.umic.jp/maruko/news/cat1628/20230110-115032.php"
"2023年1月10日(火)ニュース・連絡先生方も挑戦

上田市立川西小学校
http://www.school.umic.jp/kawanishi/news/20230110-115929.php"
"2023年1月10日(火)ニュース・連絡氷が張っています

上田市立川西小学校
http://www.school.umic.jp/kawanishi/news/20230110-123426.php"
"３学期始業式を行いました吹奏楽部アンサンブルコンテスト地区予選突破

飯田市立飯田西中学校
https://iidanishi-jh.iidacity-educationboard.com/%ef%bc%93%e5%ad%a6%e6%9c%9f%e5%a7%8b%e6%a5%ad%e5%bc%8f%e3%82%92%e8%a1%8c%e3%81%84%e3%81%be%e3%81%97%e3%81%9f%e3%80%80%e5%90%b9%e5%a5%8f%e6%a5%bd%e9%83%a8%e3%82%a2%e3%83%b3%e3%82%b5%e3%83%b3%e3%83%96/"
"2023年1月10日(火)今日の1枚吹奏楽アンサンブルコンテスト東信B地区大会

上田市立第四中学校
http://www.school.umic.jp/ueda4/news/today/20230110-141943.php"
"2023年1月10日(火)学校行事2023年あけましておめでとうございます

上田市立清明小学校
http://www.school.umic.jp/seimei/news/gyouji/20230110-144202.php"
"2023年1月10日(火)ニュース・連絡３年生がダルマの目入れ式を行いました

上田市立真田中学校
http://www.school.umic.jp/sanada/news/20230110-151616.php"
"2023年1月10日(火)ニュース・連絡３学期始業式がありました

上田市立真田中学校
http://www.school.umic.jp/sanada/news/20230110-150901.php"
"2023年1月10日(火)ニュース・連絡体育館のＬＥＤ化工事が完了しました

上田市立真田中学校
http://www.school.umic.jp/sanada/news/20230110-071157.php"
"今日から３学期

飯田市立下久堅小学校
https://shimohisakata-es.iidacity-educationboard.com/%e4%bb%8a%e6%97%a5%e3%81%8b%e3%82%89%ef%bc%93%e5%ad%a6%e6%9c%9f/"
"３学期が始まりました。

飯田市立緑ヶ丘中学校
https://midorigaoka-jh.iidacity-educationboard.com/%ef%bc%93%e5%ad%a6%e6%9c%9f%e3%81%8c%e5%a7%8b%e3%81%be%e3%82%8a%e3%81%be%e3%81%97%e3%81%9f%e3%80%82/"
"生徒総会

飯田市立緑ヶ丘中学校
https://midorigaoka-jh.iidacity-educationboard.com/__trashed/"
"3学期始業式（オンラインで実施）

飯田市立山本小学校
https://yamamoto-es.iidacity-educationboard.com/3%e5%ad%a6%e6%9c%9f%e5%a7%8b%e6%a5%ad%e5%bc%8f%e3%80%80%ef%bc%88%e3%82%aa%e3%83%b3%e3%83%a9%e3%82%a4%e3%83%b3%e3%81%a7%e5%ae%9f%e6%96%bd%ef%bc%89/"
"新年の給食1月10日

飯田市立山本小学校
https://yamamoto-es.iidacity-educationboard.com/%e6%96%b0%e5%b9%b4%e3%81%ae%e7%b5%a6%e9%a3%9f%e3%80%801%e6%9c%8810%e6%97%a5/"
"2023年1月10日(火)ニュース・連絡まとめの３学期はじまる。～今年もよろしくお願いします～

上田市立丸子北中学校
http://www.school.umic.jp/marukokj/news/20230110-220854.php"
"2023年1月10日(火)ニュース・連絡地域の方に支えられて

上田市立丸子北中学校
http://www.school.umic.jp/marukokj/news/20230110-221252.php"
"2023年1月10日(火)全校の出来事３学期が始まりました

上田市立神科小学校
http://www.school.umic.jp/kamishina/news/zenkou/20230110-225445.php"
"2023年1月10日(火)全校の行事３学期が始まりました

上田市立本原小学校
http://www.school.umic.jp/motohara/news/zenkou/20230110-095226.php"
"2023年1月10日(火)全校行事３学期始業式①～３学期にがんばりたいこと～

上田市立丸子中央小学校
http://www.school.umic.jp/marukoch/news/021/20230110-193048.php"
"2023年1月6日(金)学校の様子太陽の子に収められた作品の引き渡しについて③

上田市立丸子中央小学校
http://www.school.umic.jp/marukoch/news/cat2993/20230106-164527.php"
"2023年1月10日(火)全校行事３学期始業式③～西内小学校との統合に向けて～

上田市立丸子中央小学校
http://www.school.umic.jp/marukoch/news/021/20230110-195417.php"
"2023年1月10日(火)全校行事３学期始業式②～３学期に大切にしてほしいこと～

上田市立丸子中央小学校
http://www.school.umic.jp/marukoch/news/021/20230110-194122.php"
"3学期が始まりました

飯田市立竜峡中学校
https://ryukyo-jh.iidacity-educationboard.com/3%e5%ad%a6%e6%9c%9f%e3%81%8c%e5%a7%8b%e3%81%be%e3%82%8a%e3%81%be%e3%81%97%e3%81%9f/"
"2023年1月11日(水)ニュース・連絡金管バンド新入部員がんばっています！

上田市立本原小学校
http://www.school.umic.jp/motohara/news/20230111-081244.php"
"学校だよりNo.１０（２０２２年度）

飯田市立上郷小学校
https://kamisato-es.iidacity-educationboard.com/%e5%ad%a6%e6%a0%a1%e3%81%a0%e3%82%88%e3%82%8ano-%ef%bc%91%ef%bc%90%ef%bc%88%ef%bc%92%ef%bc%90%ef%bc%92%ef%bc%92%e5%b9%b4%e5%ba%a6%ef%bc%89/"
"新学期が始まりました

飯田市立三穂小学校
https://miho-es.iidacity-educationboard.com/%e6%96%b0%e5%ad%a6%e6%9c%9f%e3%81%8c%e5%a7%8b%e3%81%be%e3%82%8a%e3%81%be%e3%81%97%e3%81%9f/"
"2023年1月11日(水)ニュース・連絡３年生：算数の学習

上田市立西小学校
http://www.school.umic.jp/nishi/news/20230111-121655.php"
"1/6百人一首大会

諏訪清陵高等学校附属中学校
http://suwaseiryo.ed.jp/fuzoku/?p=1359"
"1/6後期後半始めの生徒集会

諏訪清陵高等学校附属中学校
http://suwaseiryo.ed.jp/fuzoku/?p=1356"
"赤い羽根共同募金を寄付しました

飯田市立飯田西中学校
https://iidanishi-jh.iidacity-educationboard.com/%e8%b5%a4%e3%81%84%e7%be%bd%e6%a0%b9%e5%85%b1%e5%90%8c%e5%8b%9f%e9%87%91%e3%82%92%e5%af%84%e4%bb%98%e3%81%97%e3%81%be%e3%81%97%e3%81%9f/"
"スケート、始まりました

小諸市立水明小学校
https://suimei.komoro.ed.jp/?p=4167"
"2023年1月11日(水)特色ある教育活動図書委員会とのコラボメニュー⑦「親子丼」

上田市立真田中学校
http://www.school.umic.jp/sanada/cat1901/20230111-171424.php"
"2023年1月11日(水)職員研修令和４年度非違行為防止研修について

上田市立川西小学校
http://www.school.umic.jp/kawanishi/syoukai/cat1804/20230111-172811.php"
"1/10-13学友会正副会長選挙教室訪問演説

諏訪清陵高等学校附属中学校
http://suwaseiryo.ed.jp/fuzoku/?p=1371"
"2022年12月27日(火)ニュース・連絡４学年【２学期終業式での発表！】

上田市立川西小学校
http://www.school.umic.jp/kawanishi/news/20221227-172046.php"
"今日の給食

飯田市立山本小学校
https://yamamoto-es.iidacity-educationboard.com/%e4%bb%8a%e6%97%a5%e3%81%ae%e7%b5%a6%e9%a3%9f-2/"
"全校ドリルの時間

飯田市立山本小学校
https://yamamoto-es.iidacity-educationboard.com/%e5%85%a8%e6%a0%a1%e3%83%89%e3%83%aa%e3%83%ab%e3%81%ae%e6%99%82%e9%96%93/"
"2023年1月12日(木)ニュース・連絡５年生：書初め

上田市立西小学校
http://www.school.umic.jp/nishi/news/20230112-084040.php"
"2023年1月11日(水)学校の出来事今年の健康運は？

上田市立丸子中学校
http://www.school.umic.jp/maruko/news/cat1628/20230111-152859.php"
"2023年1月11日(水)ニュース・連絡令和4年度学校だより『朝風』№20

上田市立塩田中学校
http://www.school.umic.jp/shioda/news/20230111-092103.php"
"2022年12月27日(火)ニュース・連絡令和4年度学校だより『朝風』№19

上田市立塩田中学校
http://www.school.umic.jp/shioda/news/20221227-092024.php"
"2022年12月27日(火)ニュース・連絡二学期終業式

上田市立塩田中学校
http://www.school.umic.jp/shioda/news/20221227-091534.php"
"2022年12月23日(金)ニュース・連絡生徒会引継ぎ会

上田市立塩田中学校
http://www.school.umic.jp/shioda/news/20221223-090542.php"
"2022年12月22日(木)ニュース・連絡ユニバーサルデザイン化授業研修

上田市立塩田中学校
http://www.school.umic.jp/shioda/news/20221222-090248.php"
"人形劇「ばけくらべ」上久堅方言Version～3年生

飯田市立上久堅小学校
https://kamihisakata-es.iidacity-educationboard.com/%e4%ba%ba%e5%bd%a2%e5%8a%87%e3%80%8c%e3%81%b0%e3%81%91%e3%81%8f%e3%82%89%e3%81%b9%e3%80%8d%e4%b8%8a%e4%b9%85%e5%a0%85%e6%96%b9%e8%a8%80version%ef%bd%9e3%e5%b9%b4%e7%94%9f/"
"冬も元気にパワーアップタイム！

飯田市立上久堅小学校
https://kamihisakata-es.iidacity-educationboard.com/%e5%86%ac%e3%82%82%e5%85%83%e6%b0%97%e3%81%ab%e3%83%91%e3%83%af%e3%83%bc%e3%82%a2%e3%83%83%e3%83%97%e3%82%bf%e3%82%a4%e3%83%a0%ef%bc%81/"
"2023年1月11日(水)学校生活の様子１月１１日（水）３学年出陣式

上田市立依田窪南部中学校
http://www.school.umic.jp/yodakubo/news/cat3/20230111-115741.php"
"2023年1月11日(水)学校長より耳をすませばその８～校長室より

上田市立中塩田小学校
http://www.school.umic.jp/nakashioda/syoukai/cat16/20230111-115215.php"
"2023年1月10日(火)ニュース・連絡人権の花感謝状贈呈がありました

上田市塩田西小学校
http://www.school.umic.jp/shiodanishi/news/20230110-181432.php"
"2023年1月11日(水)ニュース・連絡白銀の世界で、かっ飛ばす！そり教室～２年生

上田市立中塩田小学校
http://www.school.umic.jp/nakashioda/news/20230111-115509.php"
"広報委員会Web記事「学校生活」

諏訪清陵高等学校附属中学校
http://suwaseiryo.ed.jp/fuzoku/?p=1379"
"2023年1月11日(水)ニュース・連絡ウインタースポーツ満喫！スキー教室５・６年生

上田市立中塩田小学校
http://www.school.umic.jp/nakashioda/news/20230111-121747.php"
"2023年1月12日(木)保健室より保健だより１月号

上田市立丸子中学校
http://www.school.umic.jp/maruko/news/cat1754/20230112-140739.php"
"2023年1月12日(木)ニュース・連絡「人権の花」を育てて感謝状２年生

上田市立中塩田小学校
http://www.school.umic.jp/nakashioda/news/20230112-140853.php"
"頑張る１年生

飯田市立三穂小学校
https://miho-es.iidacity-educationboard.com/%e9%a0%91%e5%bc%b5%e3%82%8b%ef%bc%91%e5%b9%b4%e7%94%9f/"
"きたえ合いで伸びよう

飯田市立三穂小学校
https://miho-es.iidacity-educationboard.com/1574-2/"
"2022年12月28日(水)学年の行事５年生図工の時間に伝言板を制作しました。

上田市立長小学校
http://www.school.umic.jp/osa/news/gakunen/20221228-134841.php"
"2022年12月27日(火)学年の行事２年生がんばったねパーティーの様子から

上田市立長小学校
http://www.school.umic.jp/osa/news/gakunen/20221227-131518.php"
"2022年12月23日(金)学年の行事２年生３年生のお店屋さんに行ってきました

上田市立長小学校
http://www.school.umic.jp/osa/news/gakunen/20221223-134131.php"
"2022年12月23日(金)学年の行事６年生あれ？...もうやっている

上田市立長小学校
http://www.school.umic.jp/osa/news/gakunen/20221223-130956.php"
"2022年12月19日(月)学年の行事６年生自分の課題はどこだ？

上田市立長小学校
http://www.school.umic.jp/osa/news/gakunen/20221219-130209.php"
"2023年1月10日(火)全校の行事３学期始業式

上田市立第五中学校
http://www.school.umic.jp/ueda5/news/zenkou/20230110-153629.php"
"2023年1月10日(火)学校だより1月のお花①

上田市立第五中学校
http://www.school.umic.jp/ueda5/news/gakkotayori/20230110-151721.php"
"2022年12月27日(火)学校だより非違行為防止研修

上田市立第五中学校
http://www.school.umic.jp/ueda5/news/gakkotayori/20221227-152508.php"
"2022年12月27日(火)全校の行事２学期終業式

上田市立第五中学校
http://www.school.umic.jp/ueda5/news/zenkou/20221227-152012.php"
"2023年1月12日(木)校長室から校長室から～「カワニナ」に感謝～

上田市立塩尻小学校
http://www.school.umic.jp/shiojiri/koucyou/20230112-170838.php"
"2023年1月12日(木)ニュース・連絡２年生が中心学年となって初めての生徒会がありました

上田市立真田中学校
http://www.school.umic.jp/sanada/news/20230112-173318.php"
"2023年1月12日(木)学校日記３学期に目標が続々と･･･気持ちを新たに前進

上田市立第三中学校
http://www.school.umic.jp/ueda3/news/kyoto/20230112-172939.php"
"2023年1月10日(火)学年の出来事３学期２日目「集中している受験生」

上田市立第三中学校
http://www.school.umic.jp/ueda3/news/gakunen/20230110-172146.php"
"2023年1月6日(金)全校の出来事３学期始業式「校長先生のお話」

上田市立第三中学校
http://www.school.umic.jp/ueda3/news/zenkou/20230106-171345.php"
"2022年12月27日(火)全校の出来事２学期終業式「校長先生のお話」

上田市立第三中学校
http://www.school.umic.jp/ueda3/news/zenkou/20221227-170943.php"
"2022年12月27日(火)おたより三中だより第９号

上田市立第三中学校
http://www.school.umic.jp/ueda3/news/otayori/20221227-143823.php"
"3学期始業式

飯田市立伊賀良小学校
https://igara-es.iidacity-educationboard.com/3%e5%ad%a6%e6%9c%9f%e5%a7%8b%e6%a5%ad%e5%bc%8f/"
"今日の給食１／１２

飯田市立山本小学校
https://yamamoto-es.iidacity-educationboard.com/%e4%bb%8a%e6%97%a5%e3%81%ae%e7%b5%a6%e9%a3%9f%ef%bc%91%ef%bc%8f%ef%bc%91%ef%bc%92/"
"低学年、午後の授業の様子

飯田市立山本小学校
https://yamamoto-es.iidacity-educationboard.com/%e4%bd%8e%e5%ad%a6%e5%b9%b4%e3%80%81%e5%8d%88%e5%be%8c%e3%81%ae%e6%8e%88%e6%a5%ad%e3%81%ae%e6%a7%98%e5%ad%90/"
"「探究タイム」スライドづくりが始まりました

飯田市立飯田西中学校
https://iidanishi-jh.iidacity-educationboard.com/%e3%80%8c%e6%8e%a2%e7%a9%b6%e3%82%bf%e3%82%a4%e3%83%a0%e3%80%8d%e3%82%b9%e3%83%a9%e3%82%a4%e3%83%89%e3%81%a5%e3%81%8f%e3%82%8a%e3%81%8c%e5%a7%8b%e3%81%be%e3%82%8a%e3%81%be%e3%81%97%e3%81%9f/"
"3学期が始まりました

飯田市立浜居場小学校
https://hamaiba-es.iidacity-educationboard.com/3%e5%ad%a6%e6%9c%9f%e3%81%8c%e5%a7%8b%e3%81%be%e3%82%8a%e3%81%be%e3%81%97%e3%81%9f/"
"ネット社会の注意点（６学年）

小諸市立水明小学校
https://suimei.komoro.ed.jp/?p=4178"
"2023年1月6日(金)ニュース・連絡３学期がスタートしました

上田市立北小学校
http://www.school.umic.jp/kita/news/20230106-102915.php"
"2022年12月27日(火)ニュース・連絡2022年度学校だよりNo.10

上田市塩田西小学校
http://www.school.umic.jp/shiodanishi/news/20221227-103158.php"
"児童会長選挙告示

飯田市立座光寺小学校
https://zakoji-es.iidacity-educationboard.com/%e5%85%90%e7%ab%a5%e4%bc%9a%e9%95%b7%e9%81%b8%e6%8c%99%e5%91%8a%e7%a4%ba/"
"2023年1月13日(金)全校行事大縄跳び～寒さに負けないぞ！～

上田市立武石小学校
http://www.school.umic.jp/takeshi/news/zenkou/20230113-122321.php"
"2023年1月13日(金)全校行事３学期始業式～来年度に向けて０学期もスタート～

上田市立武石小学校
http://www.school.umic.jp/takeshi/news/zenkou/20230113-121946.php"
"お話の作者になろう

飯田市立三穂小学校
https://miho-es.iidacity-educationboard.com/%e3%81%8a%e8%a9%b1%e3%81%ae%e4%bd%9c%e8%80%85%e3%81%ab%e3%81%aa%e3%82%8d%e3%81%86/"
